127.0.0.1 - - [13/Feb/2015:14:16:32 -0500] "GET / HTTP/1.1" 404 994
127.0.0.1 - - [13/Feb/2015:14:17:02 -0500] "GET /Estudiante/ HTTP/1.1" 200 1924
127.0.0.1 - - [13/Feb/2015:14:17:03 -0500] "GET /favicon.ico HTTP/1.1" 404 1016
127.0.0.1 - - [13/Feb/2015:14:17:03 -0500] "GET /favicon.ico HTTP/1.1" 404 1016
127.0.0.1 - - [13/Feb/2015:14:17:05 -0500] "GET /Estudiante/UserController?action=insert HTTP/1.1" 200 1179
127.0.0.1 - - [13/Feb/2015:14:17:05 -0500] "GET /Estudiante/css/ui-lightness/jquery-ui-1.8.18.custom.css HTTP/1.1" 404 1104
127.0.0.1 - - [13/Feb/2015:14:17:05 -0500] "GET /Estudiante/js/jquery-1.7.1.min.js HTTP/1.1" 404 1060
127.0.0.1 - - [13/Feb/2015:14:17:05 -0500] "GET /Estudiante/js/jquery-ui-1.8.18.custom.min.js HTTP/1.1" 404 1082
127.0.0.1 - - [13/Feb/2015:14:17:25 -0500] "POST /Estudiante/UserController HTTP/1.1" 200 1924
127.0.0.1 - - [13/Feb/2015:14:17:45 -0500] "GET /Estudiante/UserController?action=insert HTTP/1.1" 200 1179
127.0.0.1 - - [13/Feb/2015:14:17:45 -0500] "GET /Estudiante/css/ui-lightness/jquery-ui-1.8.18.custom.css HTTP/1.1" 404 1104
127.0.0.1 - - [13/Feb/2015:14:17:45 -0500] "GET /Estudiante/js/jquery-ui-1.8.18.custom.min.js HTTP/1.1" 404 1082
127.0.0.1 - - [13/Feb/2015:14:17:45 -0500] "GET /Estudiante/js/jquery-1.7.1.min.js HTTP/1.1" 404 1060
127.0.0.1 - - [13/Feb/2015:14:17:45 -0500] "GET /Estudiante/js/jquery-ui-1.8.18.custom.min.js HTTP/1.1" 404 1082
127.0.0.1 - - [13/Feb/2015:14:17:53 -0500] "POST /Estudiante/UserController HTTP/1.1" 200 2197
127.0.0.1 - - [13/Feb/2015:14:17:59 -0500] "GET /Estudiante/UserController?action=delete&id=1152695831 HTTP/1.1" 200 1924
127.0.0.1 - - [13/Feb/2015:14:18:01 -0500] "GET /Estudiante/UserController?action=insert HTTP/1.1" 200 1179
127.0.0.1 - - [13/Feb/2015:14:18:01 -0500] "GET /Estudiante/css/ui-lightness/jquery-ui-1.8.18.custom.css HTTP/1.1" 404 1104
127.0.0.1 - - [13/Feb/2015:14:18:01 -0500] "GET /Estudiante/js/jquery-ui-1.8.18.custom.min.js HTTP/1.1" 404 1082
127.0.0.1 - - [13/Feb/2015:14:18:01 -0500] "GET /Estudiante/js/jquery-1.7.1.min.js HTTP/1.1" 404 1060
127.0.0.1 - - [13/Feb/2015:14:18:01 -0500] "GET /Estudiante/js/jquery-ui-1.8.18.custom.min.js HTTP/1.1" 404 1082
127.0.0.1 - - [13/Feb/2015:14:18:15 -0500] "POST /Estudiante/UserController HTTP/1.1" 200 2201
127.0.0.1 - - [13/Feb/2015:14:18:17 -0500] "GET /Estudiante/UserController?action=edit&id=1152695832 HTTP/1.1" 200 1210
127.0.0.1 - - [13/Feb/2015:14:18:17 -0500] "GET /Estudiante/css/ui-lightness/jquery-ui-1.8.18.custom.css HTTP/1.1" 404 1104
127.0.0.1 - - [13/Feb/2015:14:18:17 -0500] "GET /Estudiante/js/jquery-1.7.1.min.js HTTP/1.1" 404 1060
127.0.0.1 - - [13/Feb/2015:14:18:17 -0500] "GET /Estudiante/js/jquery-ui-1.8.18.custom.min.js HTTP/1.1" 404 1082
127.0.0.1 - - [13/Feb/2015:14:18:18 -0500] "GET /Estudiante/js/jquery-ui-1.8.18.custom.min.js HTTP/1.1" 404 1082
127.0.0.1 - - [13/Feb/2015:14:18:23 -0500] "POST /Estudiante/UserController HTTP/1.1" 200 2200
127.0.0.1 - - [13/Feb/2015:14:18:36 -0500] "GET /Estudiante/UserController?action=edit&id=1152695832 HTTP/1.1" 200 1209
127.0.0.1 - - [13/Feb/2015:14:18:36 -0500] "GET /Estudiante/css/ui-lightness/jquery-ui-1.8.18.custom.css HTTP/1.1" 404 1104
127.0.0.1 - - [13/Feb/2015:14:18:36 -0500] "GET /Estudiante/js/jquery-1.7.1.min.js HTTP/1.1" 404 1060
127.0.0.1 - - [13/Feb/2015:14:18:36 -0500] "GET /Estudiante/js/jquery-ui-1.8.18.custom.min.js HTTP/1.1" 404 1082
127.0.0.1 - - [13/Feb/2015:14:18:36 -0500] "GET /Estudiante/js/jquery-ui-1.8.18.custom.min.js HTTP/1.1" 404 1082
127.0.0.1 - - [13/Feb/2015:14:18:38 -0500] "POST /Estudiante/UserController HTTP/1.1" 200 2200
127.0.0.1 - - [13/Feb/2015:14:19:58 -0500] "GET /Estudiante/UserController?action=edit&id=1152695832 HTTP/1.1" 200 1209
127.0.0.1 - - [13/Feb/2015:14:19:58 -0500] "GET /Estudiante/css/ui-lightness/jquery-ui-1.8.18.custom.css HTTP/1.1" 404 1104
127.0.0.1 - - [13/Feb/2015:14:19:58 -0500] "GET /Estudiante/js/jquery-1.7.1.min.js HTTP/1.1" 404 1060
127.0.0.1 - - [13/Feb/2015:14:19:58 -0500] "GET /Estudiante/js/jquery-ui-1.8.18.custom.min.js HTTP/1.1" 404 1082
127.0.0.1 - - [13/Feb/2015:14:20:02 -0500] "POST /Estudiante/UserController HTTP/1.1" 200 2200
